lake_id,NAME,COUNTRY,MAX DISTANCE TO LAND (KM),LAT CENTRE,LON CENTRE,N PIXELS LSWT_mean,N PIXELS LSWT_std,N PIXELS CLIM_mean,N PIXELS CLIM_std,LSWT_spatial_mean,LSWT_spatial_std,PIXELS_PERCENTAGE_mean,PIXELS_PERCENTAGE_std,max_N_no_obs_consecutive_days,N_no_obs_consecutive_days_mean,N_no_obs_consecutive_days_std,longest_duration_days,Freq_Rank,N_obs_days_mean,N_obs_days_std,selection,Insitu-only flag,LIC-only flag,LSWT-only flag,UOR_selection_flag,UOR_LIC_with_insitu_flag,lake_cluster_flag,Form ice flag
829, Langano lake,Ethiopia,6.9,7.5986,38.7597,133.98203592814372,78.3000617952719,280.17448310640447,2.4080182205307303,0.6037756794104099,0.2913681834392332,47.17677321413511,27.570444294109826,171,5.715596330275229,12.297006231561774,,,94.3913043478261,30.955597423692335,1,0,0,1,1,0,N2,0
893, lake Neuchatel,Switzerland,3.6,46.9569,6.9375,142.24404761904762,100.0184656540434,368.2738853503185,0.9287256908638045,0.4255530045351474,0.2509258885727807,38.34071364394814,26.95915516281493,43,3.0061690314620604,2.925344832190059,,,153.3913043478261,31.915711620162003,1,0,1,0,0,0,,1
905, Oneida lake,United States,4.2,43.1931,-75.8875,134.1334219858156,92.77956337011706,334.01125226860256,13.419312262736103,0.3845966312056738,0.2284426140386762,39.220298826261875,27.128527301203803,131,4.842395587076438,11.367369248109462,,,98.08695652173913,18.58864033239426,1,0,1,0,0,0,,1
917, lac Zimbambo,Congo The Democratic Republic of the,3.7,-8.0347,26.9208,46.66969446738233,37.12965754279746,168.49752140603874,12.72701408232263,0.21633278282411228,0.1215517197287901,22.87730120950114,18.200812520979166,275,12.547993019197207,42.37483221467186,,,52.65217391304348,20.884114658258525,1,0,0,0,0,0,N5,0
920, Telmen lake,Mongolia,5.1,48.8486,97.3514,146.9466714387974,97.94662512171315,372.9258517034068,9.95575811470637,0.4691431639226915,0.2743430265509319,37.87285346360758,25.243975546833234,178,6.087947882736156,23.94360629776441,,,121.47826086956522,18.717686252743057,1,0,1,0,0,0,,1
1046, lake Kabamba,Congo The Democratic Republic of the,4.3,-7.8819,27.0319,79.66855295068714,33.77814188948669,154.58859975216853,7.14074114012202,0.25272352465642683,0.11566975171022843,44.01577511087689,18.661956845020242,275,13.169117647058824,44.310743476686866,,,53.78260869565217,21.836076324491355,1,0,0,0,0,0,N5,0
1115, lake Neusiedl,"Hungary,Austria",3.6,47.8792,16.7875,78.87682807929802,57.52650861173991,227.92397660818713,2.2804880002380714,0.4128089047773806,0.2430231675369466,30.81126096847579,22.47129242646091,53,3.6844290657439447,4.716906180197821,16833.0,2.0,133.7826086956522,26.747908196443614,1,1,0,0,1,0,,1
1146, Abijata lake,Ethiopia,5.1,7.6208,38.6042,65.50047619047619,43.82293077061664,189.35823703305564,6.540844993974279,0.4984647619047619,0.25729266262614003,31.796347665279708,21.27326736437699,168,5.899812734082397,14.78492120696007,,,91.30434782608695,22.312725237179823,1,0,0,0,0,0,N2,0
1196, sea of Galilee,"Israel,Syrian Arab Republic",5.6,32.8292,35.5847,115.34934383202099,62.81896717349353,240.87265994651307,0.3595197147394655,0.289049343832021,0.17787121686272842,47.86279827054813,26.06596148277739,31,2.8079510703363915,2.8021067474144488,13849.0,3.0,165.65217391304347,57.466677060119075,1,1,0,0,1,0,,0
1204, Kasumigaura lake,Japan,3.7,36.0375,140.3958,104.80622164614388,56.14281430629895,231.0542570951586,3.434911051896474,0.306096889176928,0.17619101726269545,42.6041551407089,22.822282238332946,91,4.026515151515151,8.242538957256535,16030.0,2.0,134.17391304347825,25.83628909096844,1,1,0,0,1,0,,0
1241, rio Tefe,Brazil,3.7,-3.3347,-64.7736,133.33333333333334,84.34650753489046,300.57787810383746,14.53222843753404,0.4143333333333333,0.1711032826492038,40.52684903748734,25.637236332793453,3648,2099.5,1298.453792015719,,,0.13043478260869565,0.34435022157509093,1,0,0,1,1,0,,0
1307, lake Mainit,Philippines,4.6,9.4931,125.5181,53.904761904761905,39.1764020322244,165.2476038338658,2.6090983594340265,0.23323809523809522,0.10433163698605748,31.339977851605756,22.776977925711858,1834,380.90909090909093,520.4020219626456,,,0.9130434782608695,1.4744195615489715,1,0,0,1,1,0,,0
1437, laguna de Tansin,Honduras,4.3,15.2708,-83.9181,40.9296875,28.50174289290167,145.7832258064516,4.543965263616994,0.2865390625,0.1538318901613389,27.105753311258276,18.875326419140183,1052,65.14173228346456,133.1407830115784,,,5.565217391304348,3.3821199236374833,1,0,0,0,0,0,N1,0
1555, Indawngyi Natural lake,Myanmar,3.7,25.1208,96.3292,50.299549549549546,34.82907725047134,157.8186274509804,2.0392073767610492,0.21867004504504506,0.1274691656381987,31.43721846846847,21.768173281544588,276,14.760314341846758,42.93277878044718,,,38.608695652173914,24.082696788046395,1,0,0,1,1,0,,0
1771, lac Rweru,"Burundi,Rwanda",4.3,-2.3958,30.3153,67.82952815829528,33.814885846436255,151.69864864864866,3.536929103548269,0.3919193302891933,0.18203274935059405,42.39345509893455,21.134303654022652,266,14.209174311926606,27.88713011271945,,,28.565217391304348,12.104942968423053,1,0,0,1,1,0,,0
1774, lac Kabele,Congo The Democratic Republic of the,3.5,-8.9125,25.9597,59.82196231319038,26.55189997920547,140.96759608138657,5.8846562787181975,0.2470019493177388,0.10601174271313894,40.69521245795264,18.062516992656743,240,11.436666666666667,38.51687061823978,,,66.91304347826087,24.04713750396058,1,0,0,0,0,0,N5,0
